Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.0019497046130330692,0.002195617092645754,0.003196657070887706,0.003137540115370871,0.0028443195807858267,0.002648571753102942,0.002778316811352529,0.0032542720132330673,0.004573989411035,0.008471183409355956
Art,Product_RealWorld,False,False,Clipart,0.019187580782084622,0.015128185311498451,0.00976076240265972,0.012389095991606563,0.012617926302613769,0.012700857134412071,0.01257274969448963,0.012137933223296595,0.009739304861109832,0.01693497296268157
Art,Product_RealWorld,False,True,Product,0.02600765795269714,0.020892882151203163,0.016616513214000903,0.018255296178059172,0.017975144079384078,0.017437198128286896,0.01790760091766091,0.018018484912808233,0.015701199273221632,0.01907814635072598
Art,Product_RealWorld,False,True,RealWorld,0.02121097327262062,0.01564505288944043,0.01310074542159778,0.012694104074573125,0.011717506638289178,0.012300117804138207,0.01221370414289399,0.012455459514763305,0.010501354556453159,0.016467608894700444
Art,Clipart_RealWorld,True,False,Art,0.0019497046130330692,0.002195617092645754,0.003196657070887706,0.0033364363636574452,0.0029939087449609865,0.0024458104500948664,0.0026967760546170536,0.0034408955097681164,0.004196220989155947,0.008152509832877727
Art,Clipart_RealWorld,False,True,Clipart,0.019187580782084622,0.015128185311498451,0.00976076240265972,0.011967212563659497,0.012264727937506615,0.0120745239762238,0.012094941752492332,0.011756546945455335,0.01037888315233446,0.018557721329493043
Art,Clipart_RealWorld,False,False,Product,0.02600765795269714,0.020892882151203163,0.016616513214000903,0.01785731645893591,0.01802615694481523,0.01758609744484765,0.017826534616796567,0.017658079896831977,0.016335278078766367,0.019206308389641463
Art,Clipart_RealWorld,False,True,RealWorld,0.02121097327262062,0.01564505288944043,0.01310074542159778,0.012296685738981078,0.012140062153250778,0.01183802782797035,0.012026960276902076,0.012104700183599671,0.010962801664738689,0.01709171473323739
Art,Clipart_Product,True,False,Art,0.0019497046130330692,0.002195617092645754,0.003196657070887706,0.003756181729582724,0.0037470386761233594,0.00299986226544703,0.003184881433985751,0.00390448390635948,0.004650813929941603,0.008678522461066596
Art,Clipart_Product,False,True,Clipart,0.019187580782084622,0.015128185311498451,0.00976076240265972,0.01115603470530708,0.011835263943289662,0.011856759253828984,0.011590770764240583,0.010887938260480417,0.00960980183846207,0.017360923669289943
Art,Clipart_Product,False,True,Product,0.02600765795269714,0.020892882151203163,0.016616513214000903,0.017086737797802745,0.017611246856136867,0.01779090615516608,0.01747506826286637,0.016829371906285695,0.015570565601689856,0.017567248412091438
Art,Clipart_Product,False,False,RealWorld,0.02121097327262062,0.01564505288944043,0.01310074542159778,0.011582210602137518,0.01142628938797317,0.011665050203572256,0.011511680335338255,0.011361186721222737,0.010412984917780877,0.016916336185682116
Clipart,Product_RealWorld,False,False,Art,0.021250939774557887,0.015174310094248477,0.00601809689780962,0.010851221647945586,0.010709960793484373,0.008992122228546028,0.009987648496661311,0.011667887382530624,0.012007338855332958,0.013059572782591832
Clipart,Product_RealWorld,True,False,Clipart,0.022080866049040703,0.019101072472952074,0.02172806359681685,0.017490936257304947,0.01759759871169974,0.017768065167160774,0.017635174274977718,0.017855464716056733,0.01799123233843635,0.01858758500711509
Clipart,Product_RealWorld,False,True,Product,0.01757446267922927,0.012711601845594032,0.007620516302986006,0.009209065331741753,0.010945375676098419,0.012295673111914764,0.01075479853433025,0.009882443085500629,0.010160713064923341,0.014714357532068024
Clipart,Product_RealWorld,False,True,RealWorld,0.025214722468031803,0.017402884219128004,0.010294324259220285,0.01250941652166929,0.01274477997425369,0.013559920015699972,0.013122337406272746,0.013461555116271184,0.013851440973919934,0.018008067949815975
Clipart,Art_RealWorld,False,True,Art,0.021250939774557887,0.015174310094248477,0.00601809689780962,0.010345024033136889,0.01007563494663644,0.008360455216066466,0.009341968949450507,0.011028699257216052,0.011398172612613982,0.012543873583444859
Clipart,Art_RealWorld,True,False,Clipart,0.022080866049040703,0.019101072472952074,0.02172806359681685,0.01722711999402614,0.017522237383638593,0.018253919616721473,0.01792555705745651,0.01757572723739558,0.01774178662713176,0.01911983297791629
Clipart,Art_RealWorld,False,False,Product,0.01757446267922927,0.012711601845594032,0.007620516302986006,0.008789455153139806,0.01123364975767723,0.012569353522423617,0.010870393718604836,0.00935582721876003,0.009660628364165546,0.017044677733997947
Clipart,Art_RealWorld,False,True,RealWorld,0.025214722468031803,0.017402884219128004,0.010294324259220285,0.011909174502023768,0.012444942819176628,0.01159226637223999,0.012104856178904461,0.01271808737700797,0.013149368969062275,0.01821833583208248
Clipart,Art_Product,False,True,Art,0.021250939774557887,0.015174310094248477,0.00601809689780962,0.010357054012224434,0.009923987120880442,0.008848615869394783,0.009580547678513362,0.01125014812860333,0.011592757879801734,0.01293091715614865
Clipart,Art_Product,True,False,Clipart,0.022080866049040703,0.019101072472952074,0.02172806359681685,0.017233816017040837,0.01757248689102045,0.01839152350689415,0.017910993939397428,0.01767682013295159,0.017824364820685782,0.018437301026828303
Clipart,Art_Product,False,True,Product,0.01757446267922927,0.012711601845594032,0.007620516302986006,0.008799442039126304,0.01097308464430276,0.012313974147172528,0.01067201109245834,0.009538639025768186,0.009820717947719762,0.014376642057055924
Clipart,Art_Product,False,False,RealWorld,0.025214722468031803,0.017402884219128004,0.010294324259220285,0.011923520096875473,0.011668902204964141,0.011660629516011057,0.01181229612808157,0.012977090916159216,0.013374814894160135,0.018520869730656458
Product,Clipart_RealWorld,False,False,Art,0.017522370513065582,0.016790783558575783,0.008523369546696764,0.01250106164784368,0.010446177965261153,0.010232224806004983,0.011191672034141599,0.012411757319872513,0.0153879717442435,0.012237592651829289
Product,Clipart_RealWorld,False,True,Clipart,0.023001650316112628,0.019687251034737133,0.010432377167256465,0.013227534937338272,0.012496519369031196,0.011646557855606763,0.012434484193354437,0.013128940994889102,0.016951259901746625,0.017337047071930022
Product,Clipart_RealWorld,True,False,Product,0.004584232616940232,0.004645454162811504,0.005044708690287345,0.006145786817168324,0.006018191658908026,0.006425180341280236,0.00611721396650172,0.006190729985739681,0.004993538731988526,0.007243759921731222
Product,Clipart_RealWorld,False,True,RealWorld,0.028506775193071366,0.026316180425636743,0.021168510617870007,0.02080449935583826,0.02099596772181667,0.02079057767086631,0.020955326391447752,0.020696006340466373,0.02428856089534041,0.02444027983640809
Product,Art_RealWorld,False,True,Art,0.017522370513065582,0.016790783558575783,0.008523369546696764,0.012937684735693745,0.010010779088562462,0.009728631388292275,0.011010842311411412,0.013045515960560892,0.016379006313606708,0.011862658840426494
Product,Art_RealWorld,False,False,Clipart,0.023001650316112628,0.019687251034737133,0.010432377167256465,0.013719632996838397,0.01407113602751443,0.01320406133930319,0.013649007862642488,0.01384390827469272,0.018733042786291017,0.016618515166036976
Product,Art_RealWorld,True,False,Product,0.004584232616940232,0.004645454162811504,0.005044708690287345,0.005934378350572323,0.0058886550955872885,0.005932580866390721,0.005808986455103986,0.00588427796926725,0.004730639332787568,0.007608487297173002
Product,Art_RealWorld,False,True,RealWorld,0.028506775193071366,0.026316180425636743,0.021168510617870007,0.021330467110843267,0.022120022834432325,0.021960135764659713,0.02198718952485479,0.02145944007750886,0.025646173918362897,0.02548157492963756
Product,Art_Clipart,False,True,Art,0.017522370513065582,0.016790783558575783,0.008523369546696764,0.011844761374572441,0.010383699977224974,0.008463090070577321,0.010256067154713175,0.012109992028409549,0.013100509446012069,0.011996816813268831
Product,Art_Clipart,False,True,Clipart,0.023001650316112628,0.019687251034737133,0.010432377167256465,0.012517689424734224,0.011873321843780623,0.012771620763544218,0.012215256044426939,0.012800562363249468,0.013907734458007715,0.017263628994316552
Product,Art_Clipart,True,False,Product,0.004584232616940232,0.004645454162811504,0.005044708690287345,0.006489680534001993,0.006977645317119761,0.00634470728134311,0.006430289943298398,0.006346907968860375,0.005859045838130847,0.008179950471677435
Product,Art_Clipart,False,False,RealWorld,0.028506775193071366,0.026316180425636743,0.021168510617870007,0.01999757927389565,0.020653668416524155,0.020633664352969868,0.02068506226957276,0.020326535876670156,0.021525107258548264,0.02538219425484405
RealWorld,Clipart_Product,False,False,Art,0.0010171442975041418,1.4923328718369611e-05,9.512513134833821e-06,1.6155415591511983e-05,7.756206602791525e-05,0.0002225006705301081,6.742947873077332e-05,3.740314841832019e-16,0.000228950851214683,0.0009213258569731844
RealWorld,Clipart_Product,False,True,Clipart,0.0011209646465965496,1.585392807531496e-05,2.515243385439867e-05,1.716444498807616e-05,0.0001456503456474909,0.0013386528918368978,0.0008110908770537248,4.703730774727712e-16,0.0002470218832266631,0.0009736717070878182
