Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.9099999999999995
Art,Product_RealWorld,False,False,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,75.08000000000001
Art,Product_RealWorld,False,True,Product,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,68.51
Art,Product_RealWorld,False,True,RealWorld,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,57.15
Art,Clipart_RealWorld,True,False,Art,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.8199999999999988
Art,Clipart_RealWorld,False,True,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,74.46000000000001
Art,Clipart_RealWorld,False,False,Product,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,68.86000000000001
Art,Clipart_RealWorld,False,True,RealWorld,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,57.79
Art,Clipart_Product,True,False,Art,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,0.8599999999999994
Art,Clipart_Product,False,True,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,74.29999999999998
Art,Clipart_Product,False,True,Product,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,68.78
Art,Clipart_Product,False,False,RealWorld,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,57.17
Clipart,Product_RealWorld,False,False,Art,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,84.35000000000001
Clipart,Product_RealWorld,True,False,Clipart,13.48,13.48,13.48,13.48,13.48,13.540000000000001,13.540000000000001,13.48,13.48,12.12
Clipart,Product_RealWorld,False,True,Product,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,69.25000000000001
Clipart,Product_RealWorld,False,True,RealWorld,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,71.84
Clipart,Art_RealWorld,False,True,Art,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,84.33000000000001
Clipart,Art_RealWorld,True,False,Clipart,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,12.24
Clipart,Art_RealWorld,False,False,Product,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,69.64000000000001
Clipart,Art_RealWorld,False,True,RealWorld,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,71.78
Clipart,Art_Product,False,True,Art,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,85.46000000000001,84.32000000000001
Clipart,Art_Product,True,False,Clipart,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,12.169999999999998
Clipart,Art_Product,False,True,Product,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,70.87,69.73000000000002
Clipart,Art_Product,False,False,RealWorld,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,73.85999999999999,71.76
Product,Clipart_RealWorld,False,False,Art,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.77000000000001
Product,Clipart_RealWorld,False,True,Clipart,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,70.08
Product,Clipart_RealWorld,True,False,Product,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.6199999999999989
Product,Clipart_RealWorld,False,True,RealWorld,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,53.709999999999994
Product,Art_RealWorld,False,True,Art,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.17
Product,Art_RealWorld,False,False,Clipart,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,70.67
Product,Art_RealWorld,True,False,Product,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.7300000000000004
Product,Art_RealWorld,False,True,RealWorld,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,53.830000000000005
Product,Art_Clipart,False,True,Art,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.93,78.41999999999999
Product,Art_Clipart,False,True,Clipart,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,70.45
Product,Art_Clipart,True,False,Product,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.9700000000000003,0.6600000000000001
Product,Art_Clipart,False,False,RealWorld,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.92999999999999,54.080000000000005
