Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,0.057953863893088944,0.08018381854985157,0.053893323939835446,0.19702552664381812,0.27929841662304855,0.09721264074782669,0.08603202223512446,0.10836925653772622,0.10062799693271249,0.0952357826392303,0.09452505808852432,0.09425162997594014,0.2165376,0.19214384,0.10698431225899403,0.20918338,0.16325386,0.11272394466263858,0.22072177,0.14903274,0.12160067292791694,0.23086748,0.13980463,0.1284253960182158,0.24391977,0.13807598,0.13515904146014662,0.2597951,0.13998413,0.1429811354901572,0.27447605,0.14929578,0.149912431371803,0.29279146,0.1702554,0.15771685006848737,0.30357766,0.19537368,0.16375142009750188,0.3155715,0.23142245,0.16989397509689938,0.32175726,0.27093855,0.17412442147290266
Art,Product_RealWorld,False,False,Clipart,0.885268768086728,0.8198546290945261,0.7961292686697115,0.8817843745282626,0.8040282542977447,0.7727637591413811,0.7714312407858857,0.8529874995934481,0.8045102639475251,0.7999136214427022,0.8000604390454885,0.8004042320091788,0.7347182,0.81604517,0.7288114441144597,0.71905124,0.807392,0.7359675722939821,0.7156185,0.7985117,0.741547713009373,0.721452,0.7936548,0.7498064764750569,0.72736526,0.7871022,0.7544865436852193,0.7391387,0.7849461,0.7617624362098481,0.7509472,0.78304374,0.7681430401580235,0.76562274,0.787976,0.7754987044275127,0.78139955,0.79806507,0.7833172706573622,0.79775536,0.8071629,0.7915589528346874,0.813722,0.81752014,0.8002369833294221
Art,Product_RealWorld,False,True,Product,0.8224896697856974,0.7634748310733611,0.7451800897863975,0.791966490476519,0.7118443285815694,0.693050439113206,0.691115368836362,0.7802517406706391,0.7502757666023998,0.7394545848284919,0.7381294898598287,0.741295941785459,0.43263054,0.4592328,0.5341840426333995,0.44706124,0.47075066,0.5672988101028802,0.47582293,0.48730397,0.5969027318364055,0.5048694,0.5073223,0.6202381696306178,0.5329565,0.5249906,0.6373189577558562,0.57277787,0.55609167,0.6587659951220363,0.6068292,0.58913285,0.6750192682955957,0.64737284,0.63274676,0.6938852049126418,0.67992854,0.6714109,0.7082437406637302,0.72511816,0.72278345,0.7294038250334371,0.7549907,0.7544703,0.7443386882766345
Art,Product_RealWorld,False,True,RealWorld,0.6868549787791629,0.6457187809703643,0.6399211155529854,0.7009262474129317,0.6327014913127249,0.5988757273929566,0.5991193170164848,0.6559568505848083,0.639609346980711,0.6359389945250788,0.636436486012278,0.6357981044952756,0.46520883,0.49297446,0.5032476455984819,0.4699896,0.49274993,0.5250628045672423,0.48347148,0.4944583,0.541197150562906,0.5035416,0.5089197,0.5578109941794934,0.52045274,0.5141021,0.568928406252569,0.5457776,0.5346454,0.5831513492229005,0.5657383,0.54870677,0.5938743578053919,0.5939267,0.5775136,0.607661419822054,0.6142699,0.59943044,0.6178346635800044,0.6441146,0.63330084,0.6322015353303613,0.6647297,0.65794176,0.6429965394177541
Art,Clipart_RealWorld,True,False,Art,0.057953863893088944,0.08018381854985157,0.053893323939835446,0.18350512974402491,0.2703902125438035,0.09501046717267968,0.09213424138449643,0.10332384604656313,0.11147185122166484,0.1057151240888157,0.10270819611366785,0.10416685660993501,0.23045039,0.20366654,0.12259850694887894,0.22857733,0.19137302,0.12727086535359544,0.23083515,0.17019188,0.1325032865579491,0.23938468,0.15783739,0.1397555860765008,0.25150296,0.14734729,0.1468723722678455,0.26850662,0.15687495,0.15615111454280797,0.27862975,0.15943809,0.16168385623264886,0.29550642,0.18036945,0.1700100407989789,0.312891,0.20894113,0.17832610435435628,0.32535896,0.24031381,0.1844249773530023,0.3330163,0.2843553,0.1897686329710641
Art,Clipart_RealWorld,False,True,Clipart,0.885268768086728,0.8198546290945261,0.7961292686697115,0.8449486198606355,0.7694799937985206,0.7489793948295873,0.7501719610692118,0.8409325983277952,0.8005926306603002,0.7971153015883256,0.795079421253578,0.7967627374875452,0.55867136,0.5793587,0.6458278806178883,0.5701948,0.5885439,0.6650029429907589,0.5914919,0.5979799,0.6839277344799088,0.61844414,0.61301666,0.7008300181319408,0.6483234,0.6379758,0.7169048720701876,0.67627126,0.66264,0.7317575219671104,0.7058145,0.694415,0.7457394543672284,0.7328375,0.7262269,0.7591386842295332,0.76154685,0.75584674,0.7726233434530434,0.7861907,0.78298414,0.7848989171478746,0.8088528,0.8075673,0.7969909233763767
Art,Clipart_RealWorld,False,False,Product,0.8224896697856974,0.7634748310733611,0.7451800897863975,0.8082827711747047,0.7389139402195695,0.7108141880349208,0.7032728268909101,0.7875891508207373,0.7472091282591752,0.7399184455325754,0.7376148584719852,0.7405811778973277,0.5982861,0.65190667,0.6306730093194945,0.60406315,0.665813,0.6435898120870113,0.60779756,0.66063786,0.6547338061000159,0.6185141,0.6561234,0.666643182707255,0.63660514,0.6653458,0.6791092623732855,0.6566991,0.6721617,0.6915351150129287,0.6775757,0.6827725,0.7028841738862911,0.7039245,0.7069031,0.7165267310625076,0.72534317,0.7248535,0.726918653082825,0.7461796,0.7441915,0.737250414095589,0.7654096,0.7642169,0.7478440215170263
Art,Clipart_RealWorld,False,True,RealWorld,0.6868549787791629,0.6457187809703643,0.6399211155529854,0.6989958089338558,0.6436621947931491,0.6064647832202381,0.6027100387480868,0.6612605971387793,0.6394574324991936,0.6332823391800699,0.6332045715683317,0.6340596867807866,0.49164572,0.5168978,0.5254808350658563,0.4963274,0.52363455,0.5382680578815475,0.50658715,0.52250344,0.551532533269173,0.5217773,0.52986205,0.565021222693273,0.5392941,0.5396605,0.5771681322644673,0.5611787,0.5521312,0.5902012148407304,0.58139265,0.5680014,0.6014416756461768,0.604466,0.58833253,0.6133632520015676,0.6298711,0.6137372,0.6257177459536839,0.6511922,0.6371843,0.6362333264138741,0.67215776,0.6645692,0.6474689449252128
Art,Clipart_Product,True,False,Art,0.057953863893088944,0.08018381854985157,0.053893323939835446,0.21154150744337513,0.30010198973211233,0.10849095837386502,0.10286802288722634,0.11302182145455161,0.12028238595954355,0.11057794212213568,0.10910392691854358,0.11047017906646923,0.23900945,0.2186091,0.12610447103475794,0.23659614,0.18930963,0.13410406023115756,0.24636361,0.17642513,0.14325458258571722,0.25347912,0.15795174,0.15024971347982427,0.2714379,0.15538375,0.16060145437149942,0.28691477,0.15645285,0.16864079460944897,0.31093597,0.16379419,0.17980070935349343,0.32497227,0.18192382,0.18675827350155932,0.34474772,0.2133135,0.19609650272861753,0.35374603,0.2530358,0.2016738089054854,0.36789015,0.30781904,0.20889484930704624
Art,Clipart_Product,False,True,Clipart,0.885268768086728,0.8198546290945261,0.7961292686697115,0.8323238471161203,0.7668662626814042,0.7483759084094337,0.74816751778373,0.8406550717991685,0.7985578149679478,0.7962597609027745,0.7931241631270404,0.7951569490505621,0.55424803,0.5768016,0.6335958494460657,0.57028335,0.5836742,0.6601119208822175,0.5926076,0.5963062,0.6812193566594774,0.6208141,0.6185063,0.6996080492096621,0.6496035,0.63971275,0.7163620051365492,0.67661524,0.6577851,0.7304083976563315,0.70854145,0.6914546,0.7458752531245769,0.7355534,0.71959245,0.7587109852826439,0.7647221,0.754454,0.7731866716947938,0.7913728,0.78470606,0.7864957527231873,0.81629336,0.81259215,0.7993455221949026
