Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.450000000000005
Art,Product_RealWorld,False,False,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,63.469999999999985
Art,Product_RealWorld,False,True,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,58.360000000000014
Art,Product_RealWorld,False,True,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.22
Art,Clipart_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.6000000000000036
Art,Clipart_RealWorld,False,True,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,63.10000000000001
Art,Clipart_RealWorld,False,False,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,58.42999999999999
Art,Clipart_RealWorld,False,True,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.42
Art,Clipart_Product,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.3900000000000032
Art,Clipart_Product,False,True,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,62.80999999999999
Art,Clipart_Product,False,True,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,58.01000000000001
Art,Clipart_Product,False,False,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.040000000000006
Clipart,Product_RealWorld,False,False,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.01
Clipart,Product_RealWorld,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.320000000000001
Clipart,Product_RealWorld,False,True,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.96
Clipart,Product_RealWorld,False,True,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.24000000000001
Clipart,Art_RealWorld,False,True,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,71.97999999999999
Clipart,Art_RealWorld,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.320000000000001
Clipart,Art_RealWorld,False,False,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.92
Clipart,Art_RealWorld,False,True,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.27
Clipart,Art_Product,False,True,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.04999999999998
Clipart,Art_Product,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.320000000000001
Clipart,Art_Product,False,True,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.870000000000005
Clipart,Art_Product,False,False,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.08
Product,Clipart_RealWorld,False,False,Art,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.74
Product,Clipart_RealWorld,False,True,Clipart,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.08000000000001
Product,Clipart_RealWorld,True,False,Product,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017
Product,Clipart_RealWorld,False,True,RealWorld,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.720000000000006
Product,Art_RealWorld,False,True,Art,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.82999999999997
Product,Art_RealWorld,False,False,Clipart,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.06
Product,Art_RealWorld,True,False,Product,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017
Product,Art_RealWorld,False,True,RealWorld,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.660000000000004
