Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.4700000000000037
Art,Product_RealWorld,False,False,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,62.839999999999996
Art,Product_RealWorld,False,True,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,57.769999999999996
Art,Product_RealWorld,False,True,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.05
Art,Clipart_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.610000000000005
Art,Clipart_RealWorld,False,True,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,62.580000000000005
Art,Clipart_RealWorld,False,False,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,57.879999999999995
Art,Clipart_RealWorld,False,True,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.1
Art,Clipart_Product,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.3600000000000043
Art,Clipart_Product,False,True,Clipart,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,62.539999999999985
Art,Clipart_Product,False,True,Product,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,57.64
Art,Clipart_Product,False,False,RealWorld,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,47.83
Clipart,Product_RealWorld,False,False,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.1
Clipart,Product_RealWorld,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005
Clipart,Product_RealWorld,False,True,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.89
Clipart,Product_RealWorld,False,True,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.04
Clipart,Art_RealWorld,False,True,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,71.90999999999998
Clipart,Art_RealWorld,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005
Clipart,Art_RealWorld,False,False,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.739999999999995
Clipart,Art_RealWorld,False,True,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.04
Clipart,Art_Product,False,True,Art,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,71.82999999999998
Clipart,Art_Product,True,False,Clipart,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005,1.2900000000000005
Clipart,Art_Product,False,True,Product,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,56.589999999999996
Clipart,Art_Product,False,False,RealWorld,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.56,57.019999999999996
Product,Clipart_RealWorld,False,False,Art,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.47
Product,Clipart_RealWorld,False,True,Clipart,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,65.96999999999998
Product,Clipart_RealWorld,True,False,Product,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017
Product,Clipart_RealWorld,False,True,RealWorld,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.8
Product,Art_RealWorld,False,True,Art,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.66
Product,Art_RealWorld,False,False,Clipart,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.1
Product,Art_RealWorld,True,False,Product,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017
Product,Art_RealWorld,False,True,RealWorld,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.69
Product,Art_Clipart,False,True,Art,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.83999999999999,74.47000000000001
Product,Art_Clipart,False,True,Clipart,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.14000000000001,66.05999999999997
Product,Art_Clipart,True,False,Product,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017,0.1200000000000017
Product,Art_Clipart,False,False,RealWorld,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.81000000000001,48.709999999999994
RealWorld,Clipart_Product,False,False,Art,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.35999999999999
RealWorld,Clipart_Product,False,True,Clipart,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.39999999999999
RealWorld,Clipart_Product,False,True,Product,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,52.85
RealWorld,Clipart_Product,True,False,RealWorld,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.210000000000004
RealWorld,Art_Product,False,True,Art,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.35
RealWorld,Art_Product,False,False,Clipart,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.78999999999999
RealWorld,Art_Product,False,True,Product,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,54.06,53.92
RealWorld,Art_Product,True,False,RealWorld,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.120000000000005
RealWorld,Art_Clipart,False,True,Art,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.67,70.35
RealWorld,Art_Clipart,False,True,Clipart,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.46
