Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.009562501378984593,0.010153279905944957,0.011436670840018169,0.010462847039319496,0.009518798084712368,0.00891638993151788,0.013812082107390013
Art,Product_RealWorld,False,False,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.01065067882946372,0.01136427091402525,0.012218151559146857,0.0114820701296972,0.010599318285155453,0.009902544186710046,0.0138849854594313
Art,Product_RealWorld,False,True,Product,0.022578705317189612,0.012016719692130853,0.010988460333843411,0.01168281926883183,0.0123537883998194,0.013660718494688936,0.01257653403687327,0.011610719693694396,0.010656554535339358,0.015854401084127546
Art,Product_RealWorld,False,True,RealWorld,0.02211647241287697,0.014145062424147037,0.01455754448207676,0.013828962828613935,0.01359355103583861,0.01652200615908659,0.015020504090389217,0.013759767904621599,0.012811592640672019,0.015807670758502347
Art,Clipart_RealWorld,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.009601897474097516,0.009588696258775791,0.01041512694054956,0.009814133303051947,0.009658206225690084,0.01021864233439132,0.01422624943350984
Art,Clipart_RealWorld,False,True,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.01069706906319231,0.010447269258237506,0.011244093020258101,0.010852251692807348,0.010763523442383434,0.011433663277520585,0.013977899901666835
Art,Clipart_RealWorld,False,False,Product,0.022578705317189612,0.012016719692130853,0.010988460333843411,0.01174814464305551,0.0124009080803394,0.01341203161732796,0.012580628345606661,0.011842057178498107,0.012810089929527401,0.016047000219134
Art,Clipart_RealWorld,False,True,RealWorld,0.02211647241287697,0.014145062424147037,0.01455754448207676,0.013891366189614798,0.014142340498422336,0.015847340951149685,0.014804839216262468,0.013980597640064612,0.014868585296462705,0.015366419443079355
Art,Clipart_Product,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.009292273060782816,0.009490232492836708,0.010814844783314827,0.009803833718576817,0.009229792825636894,0.010229816056852921,0.013667394034217732
Art,Clipart_Product,False,True,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.010334848503826799,0.010760695381972852,0.010913729266469182,0.01076120464329014,0.010262423582602162,0.011447166060596495,0.013700437190369279
