Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.009509023629019162,0.011012955704694677,0.011739296411979148,0.010809942348229337,0.009386794520055695,0.009466326484518749,0.014270766003700766
Art,Product_RealWorld,False,False,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.010587845968306581,0.011438229955240051,0.011940891688694302,0.01144993524932329,0.010444844465893938,0.010537795657776215,0.013828614268228536
Art,Product_RealWorld,False,True,Product,0.022578705317189612,0.012016719692130853,0.010988460333843411,0.011594647365314702,0.011960312976190669,0.012837450024884447,0.012116645996214266,0.01139530877542713,0.011524667723653301,0.015567322237228691
Art,Product_RealWorld,False,True,RealWorld,0.02211647241287697,0.014145062424147037,0.01455754448207676,0.013744297063458642,0.013213552589282782,0.016243618346298512,0.01462160604729793,0.013551013979860416,0.013676739986964604,0.015467524528198008
Art,Clipart_RealWorld,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.009558363212107752,0.010407212054680872,0.011983522941193316,0.010701164726112043,0.009562614997126108,0.008270249315583846,0.015908676792597456
Art,Clipart_RealWorld,False,True,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.010645811020426938,0.0118023713989818,0.011927477045974614,0.011578105570856383,0.010650812494282423,0.00917754974252164,0.014850468329181462
Art,Clipart_RealWorld,False,False,Product,0.022578705317189612,0.012016719692130853,0.010988460333843411,0.011675975714556851,0.012486503319065685,0.014430149601787597,0.012886984595155844,0.01168300721543755,0.009712107855788474,0.01599169355180936
Art,Clipart_RealWorld,False,True,RealWorld,0.02211647241287697,0.014145062424147037,0.01455754448207676,0.013822409446863889,0.014219392492095473,0.018614193795227503,0.015923172795247797,0.013829142763392189,0.0118123702999979,0.017184838433800004
Art,Clipart_Product,True,False,Art,0.01579513006912142,0.009761937681207346,0.012045979905460623,0.00915852509648705,0.010109220977734965,0.0114439126722668,0.010281361933128633,0.008992025302679398,0.007733658040360414,0.015094380443274002
Art,Clipart_Product,False,True,Clipart,0.01808859015925792,0.01088639451738919,0.010363629096685372,0.010180089179857299,0.010984350706926329,0.011677905369581312,0.011036481747001137,0.009988879693579242,0.008590143161526611,0.014005196371496744
Art,Clipart_Product,False,True,Product,0.022578705317189612,0.012016719692130853,0.010988460333843411,0.011031211717246891,0.011934378205267666,0.012216784477652433,0.011782601196851816,0.010772322092571937,0.008982372282287838,0.015485778710913329
Art,Clipart_Product,False,False,RealWorld,0.02211647241287697,0.014145062424147037,0.01455754448207676,0.013191180518498704,0.012813318117148333,0.01573202403181636,0.014022550459547246,0.012929900550097073,0.010999715907311181,0.01531623754018993
Clipart,Product_RealWorld,False,False,Art,0.018530709762047872,0.01560323412134195,0.00864409175143818,0.010883476938223105,0.010546273790532053,0.010838481045533109,0.010705491385892498,0.011445119880442304,0.007264290434869758,0.013675378769465965
Clipart,Product_RealWorld,True,False,Clipart,0.012021620343583365,0.011590418555222776,0.01304704256793466,0.011113028897334055,0.0118866440526371,0.011033337575914202,0.011277628360786444,0.011166491410310933,0.010422738812108262,0.010718409898506412
Clipart,Product_RealWorld,False,True,Product,0.016561596931702498,0.014444794211253895,0.009647258421968294,0.01039789787793778,0.009983051058172347,0.010924199070443067,0.010416768149004201,0.01093816342241476,0.00671541186939614,0.012004529307319795
