Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
clipart_infograph,quickdraw_real_sketch,True,False,clipart,18.374249616982006,33.140490272448545,15.780590346705953,61.12174597837959,52.316937782097924,47.64364463836772,53.164345158932164,55.04449013442901,43.466473051069045,37.91859197364188
clipart_infograph,quickdraw_real_sketch,True,False,infograph,33.10209551466884,40.434299762087555,29.322940272335444,68.48910291356891,55.112097427294124,43.80616350969173,57.710145018556034,63.42104691839542,49.512896233392425,30.98261224246334
clipart_infograph,quickdraw_real_sketch,False,False,painting,69.2294531907481,62.43084965646206,57.35204932129653,57.661471511662725,52.48266665006861,61.74412271325669,57.856729711138314,59.228869643884465,59.53029532997598,52.79439847984226
clipart_infograph,quickdraw_real_sketch,False,True,quickdraw,87.8415714437825,85.08303923863454,41.46011861018929,56.6366483277655,54.63194068697089,61.18962354430482,49.98251446530468,65.63779848060936,80.344068729371,64.91571682741684
clipart_infograph,quickdraw_real_sketch,False,True,real,52.88755120102587,36.96435568444116,45.1003752955699,54.90082787693399,49.95632215781346,42.49416124053079,46.23094706191161,45.72321913813964,31.80942306556286,25.715862684460312
clipart_infograph,quickdraw_real_sketch,False,True,sketch,53.703615649266524,36.29178191591351,33.91170474509474,44.997326997626395,41.81089308706875,33.34744251402488,33.92076757916571,38.54757219339933,25.94496011024494,25.648697793031612
clipart_infograph,painting_real_sketch,True,False,clipart,18.374249616982006,33.140490272448545,15.780590346705953,54.707012987397455,48.65028631554366,45.452557686710044,50.28013612297851,46.19132965451971,46.32860020166298,37.64324135484202
clipart_infograph,painting_real_sketch,True,False,infograph,33.10209551466884,40.434299762087555,29.322940272335444,62.442359980773254,52.39981479144181,43.21697303578598,56.421429733406384,53.767914740311355,53.15853970638026,30.224664770946923
clipart_infograph,painting_real_sketch,False,True,painting,69.2294531907481,62.43084965646206,57.35204932129653,55.160911394892935,52.947053780622,58.60151256898814,55.3638801069024,58.436298474113514,54.217232002499806,54.066707100619944
clipart_infograph,painting_real_sketch,False,False,quickdraw,87.8415714437825,85.08303923863454,41.46011861018929,66.06100319220307,74.76691295727689,82.70571021034412,70.93495655783876,76.06196902247505,78.72294447065097,78.20070835959982
clipart_infograph,painting_real_sketch,False,True,real,52.88755120102587,36.96435568444116,45.1003752955699,45.88499939190548,38.85079201726239,33.1922668990962,44.79711502749039,40.518489095247105,31.857361051881146,26.720026955194346
clipart_infograph,painting_real_sketch,False,True,sketch,53.703615649266524,36.29178191591351,33.91170474509474,36.925956045883375,38.702069101064126,29.794045077382854,32.23813423909253,27.050957630675015,32.70586806695521,28.728331641215174
clipart_infograph,painting_quickdraw_sketch,True,False,clipart,18.374249616982006,33.140490272448545,15.780590346705953,65.12846891621135,54.91770975655538,52.41798006335107,56.05352603368075,61.05438342540471,42.05265196448644,38.58692712885629
clipart_infograph,painting_quickdraw_sketch,True,False,infograph,33.10209551466884,40.434299762087555,29.322940272335444,71.02279195409535,61.13834859529042,47.834061167898675,60.45152746961416,68.87161690936902,46.761481116272556,32.355945193155705
clipart_infograph,painting_quickdraw_sketch,False,True,painting,69.2294531907481,62.43084965646206,57.35204932129653,56.97638032595368,48.1476088250786,58.64573128111514,58.93287545659193,57.620713570848935,59.60113981927992,51.50467016444427
clipart_infograph,painting_quickdraw_sketch,False,True,quickdraw,87.8415714437825,85.08303923863454,41.46011861018929,51.267594176783476,50.34802402781886,57.3586777049105,49.47386175877194,56.54842520158462,80.56570871198977,71.63937932525917
clipart_infograph,painting_quickdraw_sketch,False,False,real,52.88755120102587,36.96435568444116,45.1003752955699,59.36220943504171,54.155406184253096,43.27415671796744,51.08477609683246,54.841104333420525,32.366277769925304,30.743733735737646
clipart_infograph,painting_quickdraw_sketch,False,True,sketch,53.703615649266524,36.29178191591351,33.91170474509474,54.14511371474539,46.01024557346619,35.83160671938383,42.696723538950195,45.26074583536025,30.47273162573302,37.39178153575509
