Trainer,Calib,Train,Valid,Domain,Uncalibrated,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,0.0032635808757009075,0.17026998,0.1734902,0.012467763413031695,0.12337409,0.12584437,0.008205559094706816,0.01000415,0.009549847,0.004112676705092621,0.008676283,0.008065142,0.004011722441569424,0.00667481,0.006584792,0.003969528361859773,0.005282133,0.0057513267,0.003897487015803936,0.004792928,0.0053538284,0.003815378513363626,0.0043200636,0.004773292,0.0036917609177011005,0.0042089806,0.0041940357,0.0036638463105776904,0.0038370073,0.0037319728,0.0035900241763267234,0.003483735,0.003486183,0.0034541151955294314
Art,Product_RealWorld,False,False,Clipart,1.11730126932232,0.96646035,1.0884693,0.922027770677448,0.9493434,1.0819664,0.9188964772136959,0.93428725,1.0228153,0.9324989027905835,0.9286788,1.0420431,0.9320958518070055,0.92207956,1.0562341,0.9315541547597617,0.92333424,1.0764829,0.9336690827858727,0.92300093,1.0923749,0.934242772077817,0.92658365,1.1075853,0.9368198855719431,0.9313178,1.108383,0.9399767324793474,0.93536186,1.062539,0.9423353970471682,0.9481338,0.94794923,0.9489749319863758
Art,Product_RealWorld,False,True,Product,0.9511231355200691,0.5555809,0.5859145,0.6545983350837579,0.5611413,0.5956659,0.672299428725033,0.5804497,0.5976015,0.7078797905212482,0.5968207,0.615958,0.721850593458417,0.62913334,0.6564059,0.7398050880380068,0.653473,0.6895119,0.7528039513873902,0.6772741,0.7251768,0.7638944728025964,0.70500124,0.7633394,0.7760343772268683,0.73857677,0.81265736,0.7899335893762959,0.7744317,0.83793133,0.8047075828014684,0.831988,0.83191,0.8306801530574857
Art,Product_RealWorld,False,True,RealWorld,0.7655875803185461,0.57102025,0.6058543,0.5947661342839228,0.5723381,0.6116334,0.6058153223741678,0.5936769,0.61878276,0.6374910074864288,0.60047877,0.63267535,0.6444899245699716,0.6127078,0.65197396,0.6539898848490148,0.6218828,0.66659564,0.6605995342807585,0.6332432,0.68505657,0.6671641118812836,0.6447224,0.7046776,0.6736022573053068,0.6600711,0.71882373,0.6820451085911657,0.6755096,0.7131995,0.6895648730649286,0.70990914,0.7099045,0.7067658223916294
Art,Clipart_RealWorld,True,False,Art,0.0032635808757009075,0.15575016,0.1423157,0.017447877728747452,0.12633768,0.11302664,0.014245110312816953,0.091177054,0.07454355,0.009762950472339478,0.008056953,0.0065843523,0.004119718894201649,0.006904998,0.0056380713,0.004115011065856764,0.006630601,0.0050514853,0.0040576092310215485,0.0054727765,0.0046842303,0.004028524231557399,0.0052748737,0.0046675866,0.004059966326296406,0.004437717,0.0040214597,0.003941858231963415,0.004186161,0.0034130006,0.003946566852217153,0.0039490396,0.003984279,0.0038496501439995987
Art,Clipart_RealWorld,False,True,Clipart,1.11730126932232,0.7394985,0.7756279,0.7999980458764654,0.740023,0.7774012,0.8132612919090147,0.74146205,0.7825927,0.8231703147506583,0.7308985,0.7478359,0.8375377355528435,0.7482285,0.7731039,0.8478196916670923,0.76580703,0.7968386,0.8567686457374382,0.78600734,0.82545346,0.8663639750460375,0.8058673,0.8558053,0.873849054041268,0.83486664,0.90617716,0.885224447161764,0.8652173,0.93338156,0.8971756931429681,0.91105783,0.91073686,0.9171349831139469
Art,Clipart_RealWorld,False,False,Product,0.9511231355200691,0.739407,0.79790175,0.7435928963023251,0.7343626,0.7980608,0.7500644271711155,0.72669494,0.7955951,0.7525880546005337,0.7482935,0.7986737,0.7754560309198005,0.75320786,0.817396,0.7805443178735408,0.760686,0.84175223,0.7859168121499303,0.76772225,0.8593464,0.7911272047975398,0.77631587,0.8840434,0.7961276266151464,0.78934747,0.90167826,0.8034062623477368,0.8029459,0.89338523,0.8105689098721263,0.830822,0.8305148,0.8247467313649418
Art,Clipart_RealWorld,False,True,RealWorld,0.7655875803185461,0.6024104,0.62271756,0.6181582458498065,0.5967684,0.6208184,0.6243005070586316,0.59722793,0.6237188,0.6305252885251212,0.61472714,0.6404897,0.6487258094412127,0.6180832,0.64870805,0.6537171212546468,0.6280479,0.6687161,0.661231252485345,0.63836867,0.68269646,0.6685833438361766,0.6475435,0.70084614,0.6746676470083318,0.6615314,0.7185718,0.6822779861757706,0.6787278,0.7191589,0.6916878446292415,0.70949996,0.7095713,0.7078656964958872
Art,Clipart_Product,True,False,Art,0.0032635808757009075,0.22348043,0.21850125,0.026798019457075377,0.17372473,0.16497153,0.01888502879073431,0.022938706,0.020086966,0.005293975524737907,0.02152169,0.018753823,0.0054032545921712674,0.013886824,0.011114269,0.005012934630026334,0.011071193,0.009051976,0.004844816365396943,0.008701376,0.006793587,0.004658794421644551,0.00729848,0.005000895,0.004722614400481752,0.006646099,0.004573563,0.004736004229580884,0.0052433526,0.0034839592,0.0045661934982275726,0.0046930565,0.004760173,0.004436452352139053
Art,Clipart_Product,False,True,Clipart,1.11730126932232,0.7440817,0.7769731,0.8017221831664001,0.7366166,0.7814568,0.8066650294043969,0.7137789,0.7340341,0.8193895530721402,0.7305987,0.75745165,0.8332444362010687,0.7492809,0.77822757,0.8459326389192598,0.7696763,0.80904853,0.8562680166280826,0.7893863,0.8387267,0.865013726826055,0.8084858,0.8672935,0.8727326599832151,0.8354821,0.9165863,0.8830354594220898,0.8648475,0.940763,0.8943512499256953,0.9107884,0.91044676,0.9143034922855714
