Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.002366866274414543,0.0026239388314548287,0.0023678730877233663,0.003148581227730137,0.002366866274414543,0.002366866274414543,0.0024126217788367804,0.0034346408884328283,0.002366866274414543,0.02044664326104111
Art,Product_RealWorld,False,False,Clipart,0.12219234961458243,0.08423805917314643,0.04819061867126353,0.06870000594544032,0.12219234961458243,0.12219234961458243,0.10370408395998636,0.06394213152656915,0.12219234961458243,0.10329244252089398
Art,Product_RealWorld,False,True,Product,0.14918087985606313,0.10791177747727775,0.08533036758650449,0.09171440623957323,0.14918087985606313,0.14918087985606313,0.12896035309406867,0.08691331547199131,0.14918087985606313,0.14910567800855376
Art,Product_RealWorld,False,True,RealWorld,0.11417829396909686,0.0794671891802616,0.06704653079159315,0.06532631954125734,0.11417829396909686,0.11417829396909686,0.09727541072957512,0.06102900803713476,0.11417829396909686,0.1015601231030231
Art,Clipart_RealWorld,True,False,Art,0.002366866274414543,0.0026239388314548287,0.0023678730877233663,0.003674290628248705,0.002366866274414543,0.002366866274414543,0.002428958548199916,0.0038583070279331303,0.0025574025964745593,0.015486884654200816
Art,Clipart_RealWorld,False,True,Clipart,0.12219234961458243,0.08423805917314643,0.04819061867126353,0.06074084494767976,0.12219234961458243,0.12219234961458243,0.10076103856622762,0.05860946478853065,0.08806259542795232,0.13258880567885573
Art,Clipart_RealWorld,False,False,Product,0.14918087985606313,0.10791177747727775,0.08533036758650449,0.0837126448508128,0.14918087985606313,0.14918087985606313,0.12575190635378758,0.0815865469671478,0.11200303234107138,0.21002243783110197
Art,Clipart_RealWorld,False,True,RealWorld,0.11417829396909686,0.0794671891802616,0.06704653079159315,0.058148662445501736,0.11417829396909686,0.11417829396909686,0.09458253520556373,0.0562362220499406,0.08296326446814609,0.14050442873160074
Art,Clipart_Product,True,False,Art,0.002366866274414543,0.0026239388314548287,0.0023678730877233663,0.0039182241677671505,0.002366866274414543,0.002366866274414543,0.0024356567682528047,0.0042592282659183545,0.0023725988416203876,0.023709318915961522
Art,Clipart_Product,False,True,Clipart,0.12219234961458243,0.08423805917314643,0.04819061867126353,0.057964517377284544,0.12219234961458243,0.12219234961458243,0.09972035643700697,0.05466370603749606,0.11711132294175061,0.10580650897904299
Art,Clipart_Product,False,True,Product,0.14918087985606313,0.10791177747727775,0.08533036758650449,0.08094284745994025,0.14918087985606313,0.14918087985606313,0.12461873075952942,0.0776352939075113,0.14361819329361517,0.17117993979955284
Art,Clipart_Product,False,False,RealWorld,0.11417829396909686,0.0794671891802616,0.06704653079159315,0.05565839524110718,0.11417829396909686,0.11417829396909686,0.09363021669067458,0.05270794296210283,0.10953537257073503,0.11502066557957177
Clipart,Product_RealWorld,False,False,Art,0.17347558326881127,0.09061810246413755,0.04913186686842305,0.07220113633504187,0.17347558326881127,0.17347558326881127,0.13903700871875815,0.07401563107114302,0.1540076184723223,0.19528394717664274
Clipart,Product_RealWorld,True,False,Clipart,0.004377405895457364,0.005897650341499336,0.0045417061432089815,0.00732700729603076,0.004377405895457364,0.004377405895457364,0.004533315567481699,0.00714853643753865,0.0044280703812333505,0.01990196617999409
Clipart,Product_RealWorld,False,True,Product,0.13647442897969841,0.07661947925717369,0.05814702888546771,0.06305577131320017,0.13647442897969841,0.13647442897969841,0.11155494918616421,0.06441166803851398,0.12236447100720055,0.21802880747952522
Clipart,Product_RealWorld,False,True,RealWorld,0.13884051716917573,0.08457169730234036,0.06959542988470056,0.07380772502825551,0.13884051716917573,0.13884051716917573,0.11514550715640526,0.07487204684530006,0.1252998376507849,0.16805575928346586
Clipart,Art_RealWorld,False,True,Art,0.17347558326881127,0.09061810246413755,0.04913186686842305,0.06861335530053739,0.17347558326881127,0.17347558326881127,0.13772706762462603,0.07199043265869179,0.14722579402315006,0.15149202941260478
Clipart,Art_RealWorld,True,False,Clipart,0.004377405895457364,0.005897650341499336,0.0045417061432089815,0.007710416028913616,0.004377405895457364,0.004377405895457364,0.00454646227463325,0.0073483741997775135,0.004466512773811392,0.017018658960602177
Clipart,Art_RealWorld,False,False,Product,0.13647442897969841,0.07661947925717369,0.05814702888546771,0.06035697104798359,0.13647442897969841,0.13647442897969841,0.11061046620110278,0.06289794928174246,0.11746382376947048,0.1627996317675585
Clipart,Art_RealWorld,False,True,RealWorld,0.13884051716917573,0.08457169730234036,0.06959542988470056,0.07168272686798402,0.13884051716917573,0.13884051716917573,0.11426978663205277,0.073683763679868,0.12066811547667661,0.13885243336408318
Clipart,Art_Product,False,True,Art,0.17347558326881127,0.09061810246413755,0.04913186686842305,0.06817464273160531,0.17347558326881127,0.17347558326881127,0.13756577344774568,0.07121579891882175,0.06581441931862092,0.19120906238681942
Clipart,Art_Product,True,False,Clipart,0.004377405895457364,0.005897650341499336,0.0045417061432089815,0.007760312285304482,0.004377405895457364,0.004377405895457364,0.004548133038406954,0.007428117977593096,0.008041170462073434,0.01897788780458897
Clipart,Art_Product,False,True,Product,0.13647442897969841,0.07661947925717369,0.05814702888546771,0.06002519515529927,0.13647442897969841,0.13647442897969841,0.11049418390757347,0.06231703579748306,0.05823306116491496,0.18108970769459273
