Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS
Art,Product_RealWorld,True,False,Art,0.003699092014820742,0.024419476422946187
Art,Product_RealWorld,False,False,Clipart,1.1112928126251482,0.9252999534668713
Art,Product_RealWorld,False,True,Product,0.6611674059612864,0.6048110179102031
Art,Product_RealWorld,False,True,RealWorld,0.7574754211831272,0.6761939399174794
Art,Clipart_RealWorld,True,False,Art,0.003317422826043541,0.003378712083415418
Art,Clipart_RealWorld,False,True,Clipart,0.6739357807455985,0.6359141760496112
Art,Clipart_RealWorld,False,False,Product,0.7488001951563701,0.6934806886819552
Art,Clipart_RealWorld,False,True,RealWorld,0.6088000147885928,0.5747022174016184
Art,Clipart_Product,True,False,Art,0.016038406021561945,0.05399156976371813
Art,Clipart_Product,False,True,Clipart,0.8402838778170857,0.7545448548511652
Art,Clipart_Product,False,True,Product,0.7576173321229582,0.7022090149369593
Art,Clipart_Product,False,False,RealWorld,0.8298732268417337,0.7539163599480284
Clipart,Product_RealWorld,False,False,Art,1.0211613385886107,0.85699212827615
Clipart,Product_RealWorld,True,False,Clipart,0.011319602480073073,0.013233265631480872
Clipart,Product_RealWorld,False,True,Product,0.5805854244495531,0.5285474822655656
Clipart,Product_RealWorld,False,True,RealWorld,0.7156765782937378,0.6341440857363333
Clipart,Art_RealWorld,False,True,Art,0.8500709842626157,0.7631039880619388
Clipart,Art_RealWorld,True,False,Clipart,0.011498501537593754,0.01243343189954357
Clipart,Art_RealWorld,False,False,Product,0.7348977825135725,0.6671602244373275
Clipart,Art_RealWorld,False,True,RealWorld,0.6579663072606118,0.6062450652663479
Clipart,Art_Product,False,True,Art,0.8983581538790484,0.7869066558781639
Clipart,Art_Product,True,False,Clipart,0.011415274829871366,0.012168015123706686
Clipart,Art_Product,False,True,Product,0.5728579555391224,0.5363712994249411
Clipart,Art_Product,False,False,RealWorld,0.722506371551035,0.6486816552201141
Product,Clipart_RealWorld,False,False,Art,0.8756260730358025,0.8409487920428502
Product,Clipart_RealWorld,False,True,Clipart,0.6323835770570093,0.6162214478718429
Product,Clipart_RealWorld,True,False,Product,0.001265450891481405,0.0012712329953220361
Product,Clipart_RealWorld,False,True,RealWorld,0.5629929132776414,0.5565775243958855
Product,Art_RealWorld,False,True,Art,1.0622448414545917,0.9145871483865656
Product,Art_RealWorld,False,False,Clipart,1.1337383072435254,0.9544950955343511
Product,Art_RealWorld,True,False,Product,0.008013644464530227,0.05550615016052095
Product,Art_RealWorld,False,True,RealWorld,0.8249099307520569,0.7350667491666762
Product,Art_Clipart,False,True,Art,0.8606169073239137,0.7920549901564371
Product,Art_Clipart,False,True,Clipart,0.6670348442632268,0.6240887282459779
Product,Art_Clipart,True,False,Product,0.0012534031450374067,0.0013164886957345713
Product,Art_Clipart,False,False,RealWorld,0.6283690408831668,0.5967647500979282
RealWorld,Clipart_Product,False,False,Art,0.9137050095178875,0.8042247165786067
RealWorld,Clipart_Product,False,True,Clipart,0.7232593208482644,0.6485052353772838
RealWorld,Clipart_Product,False,True,Product,0.5130984936098941,0.48663370868546424
RealWorld,Clipart_Product,True,False,RealWorld,0.007890358191747639,0.018276500965401815
RealWorld,Art_Product,False,True,Art,0.8061456699146575,0.7083422766921729
RealWorld,Art_Product,False,False,Clipart,0.9397779708411107,0.8119354849268887
RealWorld,Art_Product,False,True,Product,0.4286337276965869,0.39753854922378806
RealWorld,Art_Product,True,False,RealWorld,0.00408875389126886,0.004399498700070068
RealWorld,Art_Clipart,False,True,Art,0.7089591380949708,0.6663127683333402
RealWorld,Art_Clipart,False,True,Clipart,0.6161214835812177,0.5795747382896811
RealWorld,Art_Clipart,False,False,Product,0.5412623618911203,0.5148640374850001
RealWorld,Art_Clipart,True,False,RealWorld,0.004289402014957309,0.004255108340490493
