Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS
Art,Product_RealWorld,True,False,Art,0.0022096966383330892,0.002990152246350176
Art,Product_RealWorld,False,False,Clipart,0.02845174576307186,0.019022038046911466
Art,Product_RealWorld,False,True,Product,0.02649310758255876,0.019874281174969925
Art,Product_RealWorld,False,True,RealWorld,0.027436501252730786,0.018358483218032625
Art,Clipart_RealWorld,True,False,Art,0.0016123555287439301,0.0016637082833717242
Art,Clipart_RealWorld,False,True,Clipart,0.025401983204099296,0.021325923106685726
Art,Clipart_RealWorld,False,False,Product,0.024328404213649887,0.021789710717464633
Art,Clipart_RealWorld,False,True,RealWorld,0.02028395073738428,0.015261823628350669
Art,Clipart_Product,True,False,Art,0.003855345593229791,0.005178217962801341
Art,Clipart_Product,False,True,Clipart,0.02388435868510049,0.016818470275506744
Art,Clipart_Product,False,True,Product,0.024193539082034803,0.01856340871486066
Art,Clipart_Product,False,False,RealWorld,0.021706434501711606,0.014507478416494567
Clipart,Product_RealWorld,False,False,Art,0.018264585226978353,0.011304488334123012
Clipart,Product_RealWorld,True,False,Clipart,0.002778352488040383,0.0030323888775458927
Clipart,Product_RealWorld,False,True,Product,0.025341076140733807,0.01779767609161827
Clipart,Product_RealWorld,False,True,RealWorld,0.02624859378747599,0.019499917819901683
Clipart,Art_RealWorld,False,True,Art,0.021464780017015666,0.01470904047079019
Clipart,Art_RealWorld,True,False,Clipart,0.0027993983502823394,0.00304684929011279
Clipart,Art_RealWorld,False,False,Product,0.029900407849757758,0.018282804853892765
Clipart,Art_RealWorld,False,True,RealWorld,0.018542007036660955,0.017173449905385215
Clipart,Art_Product,False,True,Art,0.01929347768284433,0.014320712020385795
Clipart,Art_Product,True,False,Clipart,0.0027976857704795745,0.0029791325573445162
Clipart,Art_Product,False,True,Product,0.026336088040687457,0.017958881008271223
Clipart,Art_Product,False,False,RealWorld,0.02900849573355007,0.020684798021627496
Product,Clipart_RealWorld,False,False,Art,0.02042270224262131,0.017467095915589693
Product,Clipart_RealWorld,False,True,Clipart,0.02293660225365813,0.02050071320589218
Product,Clipart_RealWorld,True,False,Product,0.0010994964942274215,0.0010824021006329927
Product,Clipart_RealWorld,False,True,RealWorld,0.017842356423641563,0.015490818713927863
Product,Art_RealWorld,False,True,Art,0.020911819002539512,0.012678462688558802
Product,Art_RealWorld,False,False,Clipart,0.024951924254828617,0.0175319902026855
Product,Art_RealWorld,True,False,Product,0.0031422107426788424,0.00451701002596468
Product,Art_RealWorld,False,True,RealWorld,0.021155940844556017,0.014271597818542987
Product,Art_Clipart,False,True,Art,0.019628073158193038,0.015042579672414996
Product,Art_Clipart,False,True,Clipart,0.029862000454921264,0.022059983397637473
Product,Art_Clipart,True,False,Product,0.0010593398228117437,0.001069637619508895
Product,Art_Clipart,False,False,RealWorld,0.020884000850151987,0.016097959903703624
RealWorld,Clipart_Product,False,False,Art,0.017934498433216435,0.01213857446533077
RealWorld,Clipart_Product,False,True,Clipart,0.022578957208231117,0.017258888620177243
RealWorld,Clipart_Product,False,True,Product,0.029645427337683675,0.022862272716477276
RealWorld,Clipart_Product,True,False,RealWorld,0.004445296890809458,0.0037364640525723363
RealWorld,Art_Product,False,True,Art,0.01242623328414831,0.007852420165692615
RealWorld,Art_Product,False,False,Clipart,0.028248354583782512,0.019502686568697403
RealWorld,Art_Product,False,True,Product,0.03158311948216923,0.024091055747366006
RealWorld,Art_Product,True,False,RealWorld,0.001793305034098841,0.001880113242895777
RealWorld,Art_Clipart,False,True,Art,0.016058414565745253,0.013067255318549471
RealWorld,Art_Clipart,False,True,Clipart,0.03218821055155946,0.026139728428611248
RealWorld,Art_Clipart,False,False,Product,0.02385360622320013,0.019912679209239094
RealWorld,Art_Clipart,True,False,RealWorld,0.001951438071965053,0.0018351818034127562
