Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000154
Art,Product_RealWorld,False,False,Clipart,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.45
Art,Product_RealWorld,False,True,Product,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.48
Art,Product_RealWorld,False,True,RealWorld,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,55.669999999999995
Art,Clipart_RealWorld,True,False,Art,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.3700000000000031
Art,Clipart_RealWorld,False,True,Clipart,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,78.6
Art,Clipart_RealWorld,False,False,Product,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.27
Art,Clipart_RealWorld,False,True,RealWorld,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,55.98
Art,Clipart_Product,True,False,Art,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.36000000000000226,0.3700000000000031
Art,Clipart_Product,False,True,Clipart,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,78.46000000000001
Art,Clipart_Product,False,True,Product,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.83,71.03
Art,Clipart_Product,False,False,RealWorld,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,56.49000000000001,55.85999999999999
Clipart,Product_RealWorld,False,False,Art,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.11999999999999
Clipart,Product_RealWorld,True,False,Clipart,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.1300000000000003
Clipart,Product_RealWorld,False,True,Product,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.35
Clipart,Product_RealWorld,False,True,RealWorld,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.71000000000001
Clipart,Art_RealWorld,False,True,Art,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,79.78999999999999
Clipart,Art_RealWorld,True,False,Clipart,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.1300000000000012
Clipart,Art_RealWorld,False,False,Product,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.35000000000001
Clipart,Art_RealWorld,False,True,RealWorld,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.5
Clipart,Art_Product,False,True,Art,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,80.57000000000001,79.93999999999998
Clipart,Art_Product,True,False,Clipart,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.0399999999999998,1.1400000000000006
Clipart,Art_Product,False,True,Product,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,63.61999999999999,62.970000000000006
Clipart,Art_Product,False,False,RealWorld,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.66999999999999,66.60999999999999
Product,Clipart_RealWorld,False,False,Art,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,80.23,79.4
Product,Clipart_RealWorld,False,True,Clipart,73.87,73.87,73.87,73.87,73.87,73.87,73.87,73.87,73.87,73.34
Product,Clipart_RealWorld,True,False,Product,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157,0.11000000000000157
