,Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,CPCS,TransCal,HB TopLabel,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
0,4filter_1,,True,False,original,25.72000000000001,25.72000000000001,25.72000000000001,26.700000000000006,27.44,25.78,26.130000000000003,25.76,25.72000000000001,25.72000000000001,26.290000000000003,25.72000000000001,25.72000000000001,42.61,33.62,26.98,26.98,25.9,26.570000000000004,26.570000000000004,25.809999999999995,26.01,26.01,25.750000000000007,26.2,26.2,25.82,25.99,25.99,25.61,25.81,25.81,25.68,25.59,25.59,25.640000000000004,25.93,25.93,25.58,25.74,25.74,25.4,25.94,25.94,25.79,26.28000000000001,26.28000000000001,26.02
1,4filter_1,,True,False,gaussian_noise_1,37.32000000000001,37.32000000000001,37.32000000000001,38.58,39.12,37.84,37.78,37.370000000000005,37.32000000000001,37.32000000000001,38.07000000000001,37.32000000000001,37.32000000000001,47.8,43.03,37.31,37.31,36.51,37.03,37.03,36.53000000000001,36.99,36.99,36.64,36.66,36.66,36.51,36.85,36.85,36.74,36.63,36.63,36.74999999999999,36.72,36.72,36.77,37.02,37.02,37.18,36.69,36.69,36.81,37.11,37.11,37.07000000000001,37.58,37.58,37.38
2,4filter_1,,False,False,gaussian_noise_2,48.56,48.56,48.56,49.940000000000005,50.56000000000001,49.41,49.28,48.59,48.56,48.56,49.86,48.56,48.56,55.24,52.48,47.49,47.49,47.48,47.16,47.16,47.220000000000006,47.2,47.2,47.84,47.35999999999999,47.35999999999999,47.75,47.88000000000001,47.88000000000001,47.74,47.88,47.88,47.91,48.02,48.02,48.08,48.22,48.22,48.37,48.0,48.0,48.14999999999999,48.64,48.64,48.64,48.85000000000001,48.85000000000001,48.71
3,4filter_1,,False,False,gaussian_noise_3,63.54,63.54,63.54,63.85,64.45,63.73,63.79,63.59000000000001,63.54,63.54,64.17999999999999,63.54,63.54,67.49999999999999,66.30999999999999,61.86,61.86,62.41,61.77,61.77,62.31,62.34,62.34,62.71,62.4,62.4,62.67,62.56,62.56,62.67999999999999,62.67999999999999,62.67999999999999,62.62000000000002,62.78,62.78,62.91,62.91,62.91,63.05,62.73,62.73,63.04999999999999,63.44,63.44,63.46999999999999,64.42,64.42,63.84999999999999
4,4filter_1,,False,False,gaussian_noise_4,73.29999999999998,73.29999999999998,73.29999999999998,73.23,73.89999999999999,73.41999999999999,73.44000000000001,73.4,73.29999999999998,73.29999999999998,73.98,73.29999999999998,73.29999999999998,76.08999999999999,75.49999999999999,71.64,71.64,72.66999999999999,71.86,71.86,72.47,72.44000000000001,72.44000000000001,72.85999999999999,72.45,72.45,72.71000000000001,72.42,72.42,72.95000000000002,72.47,72.47,73.14999999999999,72.37999999999998,72.37999999999998,73.11,73.09000000000002,73.09000000000002,73.31,72.97,72.97,73.02,73.27,73.27,73.26,73.74999999999999,73.74999999999999,73.55
5,4filter_1,,False,False,gaussian_noise_5,80.08,80.08,80.08,79.69,80.03,79.81,79.91999999999999,80.12,80.08,80.08,80.15,80.08,80.08,81.95,81.65,78.58,78.58,79.46000000000001,78.81,78.81,79.61000000000001,79.2,79.2,79.74000000000001,78.92000000000002,78.92000000000002,79.42999999999998,79.24999999999999,79.24999999999999,79.63,79.57,79.57,79.81000000000002,79.66,79.66,79.81,79.91,79.91,80.08,79.74000000000001,79.74000000000001,79.96000000000001,79.99999999999999,79.99999999999999,80.13000000000001,80.50999999999999,80.50999999999999,80.35
6,4filter_1,,True,False,brightness_1,26.860000000000003,26.860000000000003,26.860000000000003,27.360000000000003,28.23,27.130000000000003,27.129999999999995,26.860000000000003,26.860000000000003,26.860000000000003,27.250000000000007,26.860000000000003,26.860000000000003,41.66000000000001,33.62,28.22000000000001,28.22000000000001,26.46,27.46,27.46,26.270000000000003,26.97,26.97,26.309999999999995,27.050000000000004,27.050000000000004,26.24,26.779999999999998,26.779999999999998,26.360000000000003,26.630000000000003,26.630000000000003,26.5,26.44,26.44,26.42,26.5,26.5,26.58,26.51,26.51,26.670000000000005,26.779999999999998,26.779999999999998,26.94,27.380000000000003,27.380000000000003,27.06
7,4filter_1,,False,False,brightness_2,28.33,28.33,28.33,29.750000000000007,30.48,28.85,28.870000000000005,28.3,28.33,28.33,29.47000000000001,28.33,28.33,41.64000000000001,34.66,30.040000000000003,30.040000000000003,28.670000000000005,29.769999999999992,29.769999999999992,28.46,29.5,29.5,28.33,29.27,29.27,28.33,29.170000000000005,29.170000000000005,28.35,29.130000000000003,29.130000000000003,28.520000000000003,28.620000000000005,28.620000000000005,28.309999999999995,28.380000000000003,28.380000000000003,28.33,28.57,28.57,28.340000000000003,28.21,28.21,28.270000000000003,28.559999999999995,28.559999999999995,28.40000000000001
8,4filter_1,,False,False,brightness_3,31.809999999999995,31.809999999999995,31.809999999999995,33.72,33.739999999999995,32.64999999999999,32.39999999999999,31.7,31.809999999999995,31.809999999999995,32.879999999999995,31.809999999999995,31.809999999999995,42.46,36.71,33.260000000000005,33.260000000000005,31.95,32.86,32.86,31.66,32.42,32.42,31.77,32.38,32.38,31.67,32.160000000000004,32.160000000000004,31.85,32.39,32.39,32.09,32.14,32.14,31.76,31.869999999999997,31.869999999999997,31.8,32.010000000000005,32.010000000000005,31.85,31.94000000000001,31.94000000000001,31.65,31.890000000000004,31.890000000000004,31.619999999999997
9,4filter_1,,False,False,brightness_4,36.71,36.71,36.71,38.67,38.66,37.27,37.38,36.76,36.71,36.71,38.05,36.71,36.71,45.35,40.73,37.73,37.73,36.56,37.31,37.31,36.31,36.67,36.67,36.4,36.74,36.74,36.54,36.92,36.92,36.59999999999999,36.88,36.88,36.86999999999999,36.81,36.81,36.71,36.54,36.54,36.8,37.14999999999999,37.14999999999999,36.96,36.73,36.73,36.870000000000005,36.59,36.59,36.71
